analysis_id,3y995jwu5s6a75s
mouse_life_stage,Late adult
pvalue,0.9359334
parameter_name,Light side time spent
gene_accession_id,MGI:109356
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
gene_symbol,Snap23
