gene_symbol,Sprr1b
gene_accession_id,MGI:106659
mouse_strain,C53BL
parameter_name,Whole arena average speed
pvalue,0.2429244
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_009_001
analysis_id,uwx74p487dtw83w
