gene_symbol,Tiprl
mouse_life_stage,Early adult
analysis_id,dn48ey6239k3qsa
gene_accession_id,MGI:1915087
parameter_name,Neutrophil cell count
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
pvalue,0.7879466
