analysis_id,78rrhc2d3ci0ps7
pvalue,0.9872788
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
