analysis_id,8bn2692x87qb6e0
pvalue,0.6061103
mouse_strain,C57BL
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
mouse_life_stage,Early adult
