parameter_name,Dark side time spent
gene_symbol,Steap3
pvalue,0.7634704
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,2rhq2hq598065t4
