analysis_id,eqdm5smw0ps94ix
parameter_id,IMPC_CBC_012_001
pvalue,0.5401543
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
