gene_symbol,Sfpq
mouse_strain,C57BL
parameter_name,CV
pvalue,0.6772482
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
analysis_id,lbi10teo154cuy4
parameter_id,IMPC_ECG_003_001
