Parameter_id,IMPC_FEA_003_001
Gene_accession_id,MGI:1929242
Pvalue,0.6850627
Parameter_name,Conditioning Baseline % Freezing Time
Mouse_strain,C59BL
Gene_symbol,Ivd
Analysis_id,x6km0wa58uem1b3
Mouse_life_stage,Early adult
