analysis_id,5rgn13e61f7c8k9
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.7337121
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1336200
parameter_name,center - distance
