analysis_id,rf78f459l59k55s
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_CSD_078_001
parameter_name,Vocalization
gene_symbol,Frmpd1
pvalue,0.6030926
mouse_life_stage,Late adult
