parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
pvalue,0.6521034
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,64125i776m776qs
