gene_symbol,Zcchc2
parameter_id,IMPC_XRY_065_001
analysis_id,57ruf13g00e63l3
parameter_name,Lumbar processes
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444114
pvalue,0.1340302
