parameter_name,Tibia
mouse_strain,C57BL
gene_accession_id,MGI:107566
analysis_id,5h8r42od46k9736
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_id,IMPC_XRY_025_001
pvalue,0.7992648
