parameter_name,Calcium
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_id,HMGULA_CBC_009_001
gene_symbol,Ncaph
analysis_id,49e44k1wc1k216b
pvalue,0.1316416
mouse_life_stage,Early adult
