analysis_id,5op10rm14876c7m
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mean cell volume
gene_accession_id,MGI:1920344
parameter_id,ESLIM_016_001_005
pvalue,0.6789225
gene_symbol,Sgip1
