parameter_id,IMPC_CSD_030_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
pvalue,0.1853602
analysis_id,f49r222fg030n5j
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Tremor
