parameter_name,Lens Opacity
gene_symbol,Sprr1b
mouse_strain,C57BL
analysis_id,p1cgthtc74jkob5
mouse_life_stage,Early adult
pvalue,0.3800911
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:106659
