analysis_id,cx1n9a3801387r4
mouse_life_stage,Early adult
parameter_id,JAX_OFD_015_001
gene_symbol,Inpp1
mouse_strain,C57BL
pvalue,0.8296202
gene_accession_id,MGI:104848
parameter_name,Center resting time
