gene_symbol,Ahcy
pvalue,0.3668741
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:87968
Mouse_strain,C57BL
analysis_id,93f9ca5lq95e5s9
parameter_name,Urea (Blood Urea Nitrogen - BUN)
Mouse_life_stage,Early adult
