parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927232
analysis_id,a9u0128urwa0ip0
gene_symbol,Rab13
pvalue,0.9909934
