gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,80p80ov3c4j41b5
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.5553122
parameter_id,M-G-P_016_001_006
