gene_symbol,Wars2
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
parameter_id,TCPLA_GRS_011_001
analysis_id,64264879p8zd88u
pvalue,0.8279941
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
