gene_symbol,Lcn2
pvalue,0.4629157
gene_accession_id,MGI:96757
parameter_name,Alkaline phosphatase
analysis_id,6tnz5kp6g4o532r
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
