analysis_id,t2odc29i473n699
gene_symbol,Trdmt1
mouse_strain,C57BL
gene_accession_id,MGI:1274787
parameter_id,IMPC_IMM_025_001
pvalue,0.9401452
parameter_name,DN CD25- NKT cells
mouse_life_stage,Early adult
