gene_symbol,Gja10
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:1339969
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
pvalue,0.4923091
analysis_id,l8046r2nm7p1tnc
mouse_life_stage,Early adult
