gene_symbol,Trim46
parameter_name,Fat/Body weight
mouse_strain,C57BL
analysis_id,3icoiui9g85kv9p
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
pvalue,0.5957815
