analysis_id,5l011y0a839a4k4
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.7451488
gene_symbol,Abo
parameter_id,ESLIM_008_001_013
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
