analysis_id,0l0j29x17dn8y80
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
pvalue,0.8626355
gene_symbol,Tubb4b
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
