analysis_id,ecl141o3b64lyh5
gene_accession_id,MGI:95835
pvalue,0.6153376
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_039_001
gene_symbol,Hspa5
