gene_symbol,Kdm4c
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
pvalue,0.3790214
mouse_strain,C57BL
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
analysis_id,3p52519yr19m83k
