analysis_id,pfl51r90t664o95
pvalue,0.1342478
gene_accession_id,MGI:2670995
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
gene_symbol,Trp53i11
mouse_strain,C57BL
parameter_name,Phosphorus
