parameter_name,Weight
parameter_id,M-G-P_005_001_001
analysis_id,ev518707m0drep3
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
pvalue,0.5105923
mouse_life_stage,Early adult
