analysis_id,387y289e9581967
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
mouse_strain,C57BL
gene_symbol,Alkbh3
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
pvalue,0.2165421
