mouse_strain,C57BL
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
analysis_id,wplcy42skz03u49
pvalue,0.06117133
