parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
pvalue,0.3376458
analysis_id,5277om5v24psum4
parameter_name,Mean platelet volume
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
