analysis_id,0lk7329270j2idr
pvalue,0.5693088
mouse_strain,C56BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:95576
parameter_name,CD8+ alpha beta T cell percentage
gene_symbol,Fpgs
