parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
mouse_life_stage,Middle aged adult
analysis_id,41su09o69e825g7
mouse_strain,C57BL
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
pvalue,0.07941625
