analysis_id,z53a3c060wlgtg0
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.4803217
gene_accession_id,MGI:1920638
parameter_name,PP1 + pulse startle magnitude
parameter_id,ESLIM_011_001_007
