gene_symbol,Snrpb2
mouse_life_stage,Early adult
pvalue,0.6154754
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
mouse_strain,C57BL
gene_accession_id,MGI:104805
analysis_id,73e2c8183v8tz2e
