analysis_id,3qt70z8mc8253uf
parameter_name,Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
pvalue,0.6483119
gene_accession_id,MGI:107414
mouse_strain,C57BL
gene_symbol,Tnfsf10
