parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,129SV
pvalue,0.5799959
gene_accession_id,MGI:104848
analysis_id,z8of249a2rn3ltd
gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
