gene_symbol,Lcn2
pvalue,0.7494697
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
analysis_id,2id76zg5zf7726p
