parameter_name,Coat colouration
gene_symbol,Rhbg
mouse_strain,C57BL
analysis_id,o4259w5gbtu246a
gene_accession_id,MGI:1927379
pvalue,0.8687545
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
