analysis_id,485264kwp39196l
parameter_id,MGP_MLN_071_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Arpc2
mouse_strain,C57BL
gene_accession_id,MGI:1923959
pvalue,0.8031691
