analysis_id,oh04s5968782464
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ap5s1
parameter_id,UCD_OWT_003_001
pvalue,0.7415912
gene_accession_id,MGI:1916846
parameter_name,Spleen weight
