parameter_name,Iron
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
analysis_id,hk5zlcj0h7n2kjv
parameter_id,IMPC_CBC_011_001
pvalue,0.2100014
gene_symbol,Stk35
mouse_strain,C57BL
