parameter_name,% Freezing duration habituation-1
gene_accession_id,MGI:1924315
pvalue,0.2647464
parameter_id,ICS_FEA_016_001
mouse_strain,C57BL
gene_symbol,Ints7
analysis_id,30m77xb8t1510bs
mouse_life_stage,E9.5
