analysis_id,92585t3qh7372vu
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
gene_symbol,Rhbg
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.8728894
