analysis_id,i1f3s459mne4x9h
parameter_name,Eosinophil cell count
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
gene_symbol,Kdm5b
mouse_strain,C55BL
parameter_id,IMPC_HEM_036_001
pvalue,0.9754046
