parameter_id,MGP_IMM_017_001
analysis_id,8425k579815830m
gene_accession_id,MGI:1914071
pvalue,0.5701582
mouse_life_stage,Early adult
gene_symbol,Bcs1l
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
