gene_symbol,Sla2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925049
analysis_id,zmd8t585pp0t541
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
pvalue,0.8544884
