parameter_name,Fat/Body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,JAXLA_DXA_009_001
pvalue,0.5713466
gene_symbol,Ints7
analysis_id,7rmcskzfydf302k
