parameter_name,Fractional Shortening
gene_accession_id,MGI:1913838
mouse_strain,C57BL
pvalue,0.7148139
gene_symbol,Cmpk1
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
analysis_id,2jo0391ec9j9hdq
