parameter_name,Heart weight
gene_accession_id,MGI:2446186
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
pvalue,0.3481161
analysis_id,75i962w0bh4mk7v
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
