analysis_id,8472wc2496p0ye0
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.806759
mouse_life_stage,E9.5
gene_symbol,Dmap1
