gene_symbol,Inpp1
parameter_name,KLRG1+ NK cells - % of NK cells
parameter_id,MGP_IMM_036_001
pvalue,0.1540521
mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
analysis_id,k467j1bcw9qpeo5
