parameter_name,Midbrain
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEL_029_001
analysis_id,q754j0fwz2qy623
pvalue,0.6041418
gene_symbol,Frmpd1
mouse_life_stage,Late adult
mouse_strain,C57BL
