analysis_id,8mq6qr5399d6ji5
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
gene_symbol,SECISBP2L
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.1588268
parameter_id,IMPC_ABR_012_001
