parameter_name,HRV
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
gene_symbol,Arnt
gene_accession_id,MGI:88071
analysis_id,w5qe7v4kbl84m3n
pvalue,0.4791811
