analysis_id,026nmsbd360qy34
pvalue,0.2890559
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm5b
parameter_name,Cornea vascularisation
gene_accession_id,MGI:1922855
