analysis_id,2b31j5q67lh1lth
gene_accession_id,MGI:2673000
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trim46
pvalue,0.2040941
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
