parameter_name,Periphery permanence time
pvalue,0.9436003
mouse_life_stage,Early adult
gene_symbol,Toporsl
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
analysis_id,4k4u5rnz6a9176i
gene_accession_id,MGI:1915524
