gene_symbol,Gpa33
parameter_id,MGP_MLN_031_001
mouse_strain,C52BL
gene_accession_id,MGI:1891703
pvalue,0.6742895
analysis_id,omg5e95s7k6r4s0
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
